Entry	Gene Names (primary)	Gene Names	Mass	Length	Protein names
Q6LXC5		MMP1427	48085	458	UPF0210 protein MMP1427
Q6LXR7		MMP1282	20889	183	UPF0200 protein MMP1282
Q6LXW0		MMP1236	26526	247	UPF0280 protein MMP1236
Q6LYD6		MMP1055	11507	101	UPF0235 protein MMP1055
Q6LZH1		MMP0657	10045	90	UPF0237 protein MMP0657
Q6M0B4		MMP0357	40851	357	UDP-N-acetylglucosamine 2-epimerase homolog (EC 5.1.-.-)
Q6M0I4		MMP0286	9122	76	UPF0248 protein MMP0286
Q6M0M3		MMP0247	19071	164	Probable Brix domain-containing ribosomal biogenesis protein
P0CW49		MMP0618	12256	109	Uncharacterized protein MMP0618
P60818		MMP0665	19252	162	UPF0305 protein MMP0665
P61652		MMP1387	31921	284	MEMO1 family protein MMP1387
Q6LX81		MMP1471	40328	349	Uncharacterized protein MMP1471
Q6LWU8	coaBC	coaBC MMP1606	44125	396	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]
Q6LXG0	asd	asd MMP1391	37881	348	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)
Q6LYH8	carB	carB MMP1013	119552	1081	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)
Q6LYZ4		MMP0835	47378	434	Lysosomal dipeptide transporter MFSD1 (Major facilitator superfamily domain-containing protein 1)
Q6M0L6	nnrE	nnrE nnrD MMP0254	56761	507	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]
Q6M0Q5		MMP0214	20952	183	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)
Q6LWT8	aIF-2B I	aIF-2B I MMP1618	35931	321	Putative methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (MTNA-like protein) (aMTNA) (S-methyl-5-thioribose-1-phosphate isomerase)
Q6LWX0	speE	speE MMP1584	31816	280	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)
Q6LWX7	hat	hat MMP1577	61435	540	tRNA carboxymethyluridine synthase (EC 2.3.1.311)
Q6LWY1	bioD	bioD MMP1573	21130	190	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)
Q6LWY9	or900	or900 mtrA MMP1565	26134	253	Tetrahydromethanopterin S-methyltransferase subunit A (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit A)
Q6LWZ5	mcrA	mcrA MMP1559	61070	553	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)
Q6LX72	leuC	leuC MMP1480	45588	418	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
Q6LXA8	map	map MMP1444	32597	295	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)
Q6LXB2	taw1	taw1 MMP1440	36194	313	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (EC 4.1.3.44) (tRNA wyosine derivatives biosynthesis protein Taw1)
Q6LXB5	top6A	top6A MMP1437	47744	419	Type 2 DNA topoisomerase 6 subunit A (EC 5.6.2.2) (Type II DNA topoisomerase VI subunit A)
Q6LXF4	smc1	smc1 smc MMP1397	137184	1189	Chromosome partition protein Smc
Q6LXI8	rpoA1	rpoA1 rpo1N MMP1363	98846	889	DNA-directed RNA polymerase subunit Rpo1N (EC 2.7.7.6) (DNA-directed RNA polymerase subunit A')
Q6LXI9	rpoB1	rpoB1 MMP1362	68572	611	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)
Q6LXJ6	thiI	thiI MMP1354	43707	383	Probable tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)
Q6LXK1	nadE	nadE MMP1349	28563	258	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)
Q6LXK5	uppS	uppS MMP1345	30993	264	Tritrans,polycis-undecaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) (EC 2.5.1.89) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)
Q6LXL5	mvk	mvk MMP1335	35202	317	Mevalonate kinase (MK) (MVK) (EC 2.7.1.36)
Q6LXM8	rpoD	rpoD rpo3 MMP1322	20138	180	DNA-directed RNA polymerase subunit Rpo3 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit D)
Q6LXN6	fen-1	fen-1 fen MMP1313	36806	324	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)
Q6LXQ3	pfkC	pfkC MMP1296	52700	463	ADP-specific phosphofructokinase (EC 2.7.1.146) (ADP-dependent phosphofructokinase) (ADP-Pfk)
Q6LXZ3	lysA	lysA MMP1200	47953	436	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)
Q6LY07	lon	lon MMP1186	75871	692	Archaeal Lon protease (EC 3.4.21.-) (ATP-dependent protease La homolog)
Q6LY44	leuC	leuC MMP1149	45408	424	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
Q6LY47	purF	purF MMP1146	50828	459	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)
Q6LY67	thiL	thiL MMP1124	34731	315	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)
Q6LY77	rpe	rpe MMP1114	24023	219	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
Q6LY90	argD	argD MMP1101	42843	395	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)
Q6LYI2	pyrC	pyrC MMP1009	47175	418	Dihydroorotase (DHOase) (EC 3.5.2.3)
Q6LYK6	cdhA	cdhA MMP0985	85625	778	Acetyl-CoA decarbonylase/synthase complex subunit alpha (ACDS complex subunit alpha) (EC 1.2.7.4) (ACDS complex carbon monoxide dehydrogenase subunit alpha) (ACDS CODH subunit alpha)
Q6LYK8	cdhB	cdhB cdhC MMP0983	51020	457	Acetyl-CoA decarbonylase/synthase complex subunit beta (ACDS complex subunit beta) (EC 2.3.1.169) (ACDS complex acyltransferase)
Q6LYL1	cdh	cdh cdhE MMP0980	50305	457	Acetyl-CoA decarbonylase/synthase complex subunit gamma (ACDS complex subunit gamma) (EC 2.1.1.245) (5-methyltetrahydrosarcinapterin:corrinoid/iron-sulfur protein Co-methyltransferase) (ACDS complex methyltransferase) (Corrinoid/iron-sulfur component large subunit)
Q6LYM0	purB	purB MMP0971	50715	449	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)
Q6LYN4	topA	topA MMP0956	93928	823	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)
Q6LYN5	sucD	sucD MMP0955	30506	288	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
Q6LYQ0	cobS	cobS MMP0938	28414	257	Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)
Q6LYR9	pyrK	pyrK MMP0919	28011	255	Probable dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit (Dihydroorotate oxidase B, electron transfer subunit)
Q6LYU7	hel308	hel308 MMP0890	85281	747	ATP-dependent DNA helicase Hel308 (EC 5.6.2.4) (DNA 3'-5' helicase Hel308)
Q6LYX0	bioA	bioA MMP0865	52877	467	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)
Q6LZA0	uvrA	uvrA MMP0729	106284	951	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)
Q6LZA9	hcp	hcp MMP0720	60225	546	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)
Q6LZB6	iorA2	iorA2 MMP0713	63402	578	Indolepyruvate oxidoreductase subunit IorA (IOR) (EC 1.2.7.8) (Indolepyruvate ferredoxin oxidoreductase subunit alpha)
Q6LZE6	ftsY	ftsY MMP0683	42007	383	Signal recognition particle receptor FtsY (SRP receptor) (EC 3.6.5.4)
Q6LZH7	ilvN	ilvN MMP0651	18875	169	Acetolactate synthase small subunit (AHAS) (ALS) (EC 2.2.1.6) (Acetohydroxy-acid synthase small subunit)
Q6LZH8	ilvB	ilvB MMP0650	63804	587	Acetolactate synthase (EC 2.2.1.6)
Q6LZP5	mptE	mptE MMP0579	26828	238	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (HPPK) (EC 2.7.6.3) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase) (6-hydroxymethyl-7,8-dihydropterin diphosphokinase) (6-HMPDK) (7,8-dihydro-6-hydroxymethylpterin diphosphokinase) (7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase) (PPPK)
Q6LZQ1	mobA	mobA MMP0573	24795	214	Probable molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)
Q6M032	rpo7	rpo7 rpoE MMP0440	21030	187	DNA-directed RNA polymerase subunit Rpo7 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit E)
Q6M033	pyrD	pyrD MMP0439	31984	304	Dihydroorotate dehydrogenase (DHOD) (DHODase) (DHOdehase) (EC 1.3.-.-)
Q6M061	prsA	prsA prs MMP0410	31026	287	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)
Q6M081		MMP0390	24075	219	Probable inosine/xanthosine triphosphatase (ITPase/XTPase) (EC 3.6.1.73) (Non-canonical purine NTP phosphatase) (Non-standard purine NTP phosphatase) (Nucleoside-triphosphate phosphatase) (NTPase)
Q6M090	leuD	leuD MMP0381	17735	161	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
Q6M0D5	hjc	hjc MMP0336	15205	135	Crossover junction endodeoxyribonuclease Hjc (Hjc) (EC 3.1.21.10) (Holliday junction resolvase Hjc)
Q6M0F4	fbp	fbp MMP0317	42515	383	Fructose-1,6-bisphosphate aldolase/phosphatase (FBP A/P) (FBP aldolase/phosphatase) (EC 3.1.3.11) (EC 4.1.2.13)
Q6M0F5	iorA1	iorA1 MMP0316	66871	612	Indolepyruvate oxidoreductase subunit IorA (IOR) (EC 1.2.7.8) (Indolepyruvate ferredoxin oxidoreductase subunit alpha)
Q6M0M2	rpo12	rpo12 rpoP MMP0248	5184	46	DNA-directed RNA polymerase subunit Rpo12 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit P)
Q6M0T3	mtaP	mtaP MMP0185	28610	253	Probable S-methyl-5'-thioinosine phosphorylase (EC 2.4.2.44) (5'-methylthioinosine phosphorylase) (MTI phosphorylase) (MTIP)
Q6M0T5	ribB	ribB MMP0183	27803	247	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)
Q6M0T9	purL	purL MMP0179	109640	989	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)
Q6M0X1	nifH	nifH MMP0147	34193	313	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)
Q6M0Y3	thrC	thrC MMP0135	43782	404	Threonine synthase (EC 4.2.3.1)
Q6M0Y5	guaB	guaB MMP0133	53684	500	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
Q6M0Y6	ilvE	ilvE MMP0132	31670	287	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)
Q6M141	queE	queE MMP0077	27919	242	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Archaeosine biosynthesis protein QueE)
Q6M1A8	DP1	DP1 polB MMP0008	67586	585	DNA polymerase II small subunit (Pol II) (EC 2.7.7.7) (Exodeoxyribonuclease small subunit) (EC 3.1.11.1)
Q6LWK0	rpl44e	rpl44e MMP1709	10879	93	Large ribosomal subunit protein eL42
Q6LWK1	rps27e	rps27e MMP1708	6609	61	Small ribosomal subunit protein eS27
Q6LWK2	aIF2 alpha	aIF2 alpha MMP1707	29894	265	Translation initiation factor 2 subunit alpha (aIF2-alpha) (eIF-2-alpha)
Q6LWK7	hom	hom MMP1702	36294	337	Homoserine dehydrogenase (EC 1.1.1.3)
Q6LWP1	flaB3	flaB3 MMP1668	22078	210	Flagellin
Q6LWP2	flaB2	flaB2 MMP1667	22474	216	Flagellin
Q6LWP3	flaB1	flaB1 MMP1666	27748	263	Flagellin
Q6LWP6		MMP1663	43716	401	Phosphomevalonate dehydratase large subunit (EC 4.2.1.182)
Q6LWQ8	modC	modC MMP1649	39456	353	Molybdate/tungstate import ATP-binding protein WtpC (EC 7.3.2.6)
Q6LWR2		MMP1645	29080	257	Isopentenyl phosphate kinase (IPK) (EC 2.7.4.26)
Q6LWU5	ftr	ftr MMP1609	32090	302	Formylmethanofuran--tetrahydromethanopterin formyltransferase (Ftr) (EC 2.3.1.101) (H4MPT formyltransferase)
Q6LWU9		MMP1605	50143	447	Pyruvate kinase (EC 2.7.1.40)
Q6LWW2	trpS	trpS MMP1592	40891	358	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)
Q6LWW6	serA	serA MMP1588	56410	523	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
Q6LWZ6	mcrG	mcrG MMP1558	29605	260	Methyl-coenzyme M reductase subunit gamma (EC 2.8.4.1)
Q6LWZ9	mcrB	mcrB MMP1555	46646	443	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)
Q6LX02	ubiX	ubiX MMP1552	20844	185	Flavin prenyltransferase UbiX (EC 2.5.1.129)
Q6LX04		MMP1550	23716	223	NADP oxidoreductase, coenzyme F420-dependent (EC 1.-.-.-)
Q6LX27	rncS	rncS MMP1526	26471	230	ribonuclease III (EC 3.1.26.3)
Q6LX29	secF	secF MMP1524	30098	281	Protein-export membrane protein SecF
Q6LX30	secD	secD MMP1523	41426	388	Protein-export membrane protein SecD
Q6LX34		MMP1519	28002	255	Molybdate/tungstate transport system permease protein WtpB
Q6LX35		MMP1518	34899	312	Molybdate/tungstate import ATP-binding protein WtpC (EC 7.3.2.6)
Q6LX36		MMP1517	22772	200	Zn-dependent protease
Q6LX45	porC	porC MMP1507	18942	176	Pyruvate synthase subunit PorC (EC 1.2.7.1) (Pyruvate oxidoreductase gamma chain) (Pyruvic-ferredoxin oxidoreductase subunit gamma)
Q6LX46	porD	porD MMP1506	9682	85	Pyruvate synthase subunit PorD (Pyruvate oxidoreductase delta chain) (Pyruvic-ferredoxin oxidoreductase subunit delta)
Q6LX47	porA	porA MMP1505	42248	387	Pyruvate synthase subunit PorA (EC 1.2.7.1) (Pyruvate oxidoreductase alpha chain) (Pyruvic-ferredoxin oxidoreductase subunit alpha)
Q6LX50	porF	porF MMP1502	15166	138	Ferredoxin
Q6LX52	ftsz2	ftsz2 ftsZ MMP1500	38551	365	Cell division protein FtsZ
Q6LX71	cbiM	cbiM MMP1481	23833	225	Putative cobalt transport protein CbiM (Energy-coupling factor transporter probable substrate-capture protein CbiM) (ECF transporter S component CbiM)
Q6LX73	dacZ	dacZ MMP1479	34566	312	Diadenylate cyclase (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase)
Q6LX90	ehaO	ehaO MMP1462	42881	375	Energy conserving hydrogenase A large subunit (EC 1.6.5.3)
Q6LXB6	ftsZ	ftsZ ftsZ1 MMP1436	38310	360	Cell division protein FtsZ
Q6LXB8	spt5	spt5 MMP1434	16027	146	Transcription elongation factor Spt5
Q6LXC3	rpm	rpm MMP1429	12295	105	Transcription factor S (Transcription elongation factor IIS/RNA polymerase subunit homolog)
Q6LXC8		MMP1424	94927	852	dolichyl-phosphooligosaccharide-protein glycotransferase (EC 2.4.99.21) (Oligosaccharyl transferase)
Q6LXD0	secY	secY MMP1422	48295	442	Protein translocase subunit SecY (Protein transport protein SEC61 subunit alpha homolog)
Q6LXD5	rpl19e	rpl19e MMP1417	17301	149	Large ribosomal subunit protein eL19
Q6LXF6		MMP1395	85744	752	Helix-hairpin-helix motif:DEAD/DEAH box helicase:Helicase, C-terminal:Helix-hairpin-helix DNA-binding, class 1:ERCC4 domain (EC 2.7.7.-)
Q6LXG6	fruB	fruB MMP1385	30777	282	Coenzyme F420 hydrogenase subunit beta (EC 1.12.98.1)
Q6LXG7	fruG	fruG MMP1384	24115	228	Coenzyme F420 hydrogenase subunit gamma (EC 1.12.98.1)
Q6LXG9	fruA	fruA MMP1382	46272	414	Coenzyme F420 hydrogenase subunit alpha (EC 1.12.98.1)
Q6LXH2	thyA	thyA MMP1379	24422	212	Putative thymidylate synthase (TS) (TSase) (EC 2.1.1.-)
Q6LXI5	nusA	nusA MMP1366	19404	173	Probable transcription termination protein NusA
Q6LXJ0	rpoB2	rpoB2 MMP1361	55882	499	DNA-directed RNA polymerase (EC 2.7.7.6)
Q6LXJ4		MMP1356	35803	314	Uncharacterized protein
Q6LXK2		MMP1348	40465	360	UPF0292 protein MMP1348
Q6LXL4	selB	selB MMP1336	51364	468	Selenocysteine-specific elongation factor (SelB translation factor)
Q6LXP3		MMP1306	28057	253	4-phosphopantoate--beta-alanine ligase (EC 6.3.2.36) (Phosphopantothenate synthetase) (PPS)
Q6LXP6		MMP1303	70804	639	histidine kinase (EC 2.7.13.3)
Q6LXR1		MMP1288	46839	425	Anhydromevalonate phosphate decarboxylase (EC 4.1.1.126)
Q6LXT3		MMP1264	56531	497	Uncharacterized protein
Q6LXT9	hemB	hemB MMP1258	35756	322	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)
Q6LXV4	nadA	nadA MMP1242	34059	305	Quinolinate synthase (EC 2.5.1.72)
Q6LXZ5		MMP1198	28619	254	Molybdate/tungstate import ATP-binding protein WtpC (EC 7.3.2.6)
Q6LY03		MMP1190	16677	150	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)
Q6LY21		MMP1172	20626	183	DNA protection during starvation protein (EC 1.16.-.-)
Q6LY22	pssA	pssA MMP1171	22482	204	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)
Q6LY28		MMP1165	79169	723	Haloacid dehalogenase/epoxide hydrolase:ATPase, E1-E2 type:Heavy metal transport/detoxification protein (EC 3.6.1.-)
Q6LY40	ehbN	ehbN MMP1153	43011	375	Energy conserving hydrogenase B large subunit (EC 1.6.5.3)
Q6LY51		MMP1141	99969	874	Lhr-like RNA helicase (EC 3.6.1.-)
Q6LY71		MMP1120	68394	614	histidine kinase (EC 2.7.13.3)
Q6LY75		MMP1116	38134	350	Endoglucanase (EC 3.2.1.4)
Q6LY83	corA	corA MMP1108	37194	316	Magnesium transport protein CorA
Q6LY86	sucC	sucC MMP1105	39612	362	Succinate-CoA ligase (ADP-forming), beta chain (EC 6.2.1.5)
Q6LY92		MMP1099	26794	233	Phosphate-specific transport system accessory protein PhoU
Q6LY94		MMP1097	31088	288	Phosphate transport system permease protein PstA
Q6LY97	ppsA	ppsA MMP1094	83398	758	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)
Q6LY98	coaD	coaD MMP1093	16952	148	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
Q6LYA0		MMP1091	31726	282	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase)
Q6LYA8		MMP1083	27041	244	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase subunit HisF) (ImGP synthase subunit HisF)
Q6LYB9		MMP1072	41781	375	Aminotransferase (EC 2.6.1.-)
Q6LYC5	moaC	moaC MMP1066	23319	208	Probable cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)
Q6LYC8	leuA	leuA MMP1063	55481	514	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)
Q6LYC9		MMP1062	69533	613	Lon proteolytic domain-containing protein
Q6LYE9	atpC	atpC MMP1042	43569	391	A-type ATP synthase subunit C
Q6LYF1	atpK	atpK MMP1040	21502	222	A1A0 ATPase, subunit K (EC 3.6.3.14)
Q6LYF2	atpI	atpI MMP1039	74704	686	A-type ATP synthase subunit I
Q6LYG3	rqcH	rqcH MMP1028	78552	680	Archaeal Rqc2 homolog aRqcH (aRqcH)
Q6LYG7		MMP1024	80486	710	DNA 3'-5' helicase (EC 5.6.2.4)
Q6LYH3	cimA	cimA MMP1018	53434	492	Putative (R)-citramalate synthase CimA (EC 2.3.3.21)
Q6LYH4	lysC	lysC MMP1017	50772	468	Aspartokinase (EC 2.7.2.4)
Q6LYH9	exoA	exoA MMP1012	29139	249	Exonuclease III (EC 3.1.11.2)
Q6LYI3	trpC	trpC MMP1008	25414	229	Indole-3-glycerol phosphate synthase (EC 4.1.1.48)
Q6LYI5	trpE	trpE MMP1006	49770	439	Anthranilate synthase component 1 (EC 4.1.3.27)
Q6LYI6	trpG	trpG MMP1005	21931	198	anthranilate synthase (EC 4.1.3.27) (Anthranilate synthase, GATase component)
Q6LYI8	trpB	trpB MMP1003	43154	394	Tryptophan synthase beta chain (EC 4.2.1.20)
Q6LYK2	top6B	top6B MMP0989	76159	664	Type 2 DNA topoisomerase 6 subunit B (EC 5.6.2.2) (Type II DNA topoisomerase VI subunit B) (TopoVI-B)
Q6LYK7	cdh	cdh cdhB MMP0984	19154	172	Acetyl-CoA decarbonylase/synthase complex subunit epsilon (ACDS complex subunit epsilon) (ACDS complex carbon monoxide dehydrogenase subunit epsilon) (ACDS CODH subunit epsilon)
Q6LYL0	cdhD	cdhD MMP0981	43038	384	Acetyl-CoA decarbonylase/synthase complex subunit delta (ACDS complex subunit delta) (Corrinoid/iron-sulfur component small subunit)
Q6LYM4	cobA	cobA MMP0966	26115	239	uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107) (S-adenosyl-L-methionine:uroporphyrinogen III methyltransferase)
Q6LYP9		MMP0939	25289	225	Glyceraldehyde 3-phosphate phosphatase
Q6LYR1	cheA	cheA MMP0927	102381	920	Chemotaxis protein CheA (EC 2.7.13.3)
Q6LYS0	asnB	asnB MMP0918	58799	513	Putative asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
Q6LYT5		MMP0902	13750	130	Phosphomevalonate dehydratase small subunit (PMDh small subunit) (PMDh-S) (EC 4.2.1.182)
Q6LYV7	aksF	aksF MMP0880	37968	339	2-oxosuberate synthase, last step
Q6LYV8	nadC	nadC MMP0877	31388	279	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating])
Q6LYW3	hemC	hemC MMP0872	33953	304	Hydroxymethylbilane synthase (EC 2.5.1.61)
Q6LYW8		MMP0867	29989	277	ABC-type proline/glycine betaine transport system, permease component related protein
Q6LYZ2		MMP0837	22809	201	Ribonuclease H (EC 3.1.26.4)
Q6LZ04	hdrA	hdrA MMP0825	71349	654	CoB--CoM heterodisulfide reductase iron-sulfur subunit A (EC 1.8.-.-)
Q6LZ09	frcA	frcA MMP0820	45683	410	Coenzyme F420 hydrogenase subunit alpha (EC 1.12.98.1)
Q6LZ11	frcG	frcG MMP0818	25910	242	Coenzyme F420 hydrogenase subunit gamma (EC 1.12.98.1)
Q6LZ12	frcB	frcB MMP0817	30887	282	Coenzyme F420 hydrogenase subunit beta (EC 1.12.98.1)
Q6LZ19		MMP0810	22978	202	Probable queuosine precursor transporter (Q precursor transporter)
Q6LZ41		MMP0788	77958	720	Methyl-accepting chemotaxis protein
Q6LZ81		MMP0748	75660	668	MCM family related protein
Q6LZ94		MMP0735	36040	306	site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)
Q6LZ96		MMP0733	49722	450	Multidrug export protein MepA
Q6LZB8	corA	corA MMP0711	41394	352	Magnesium transport protein CorA
Q6LZB9		MMP0710	102444	926	Cation-transporting ATPase
Q6LZD0		MMP0699	48460	447	Multidrug export protein MepA
Q6LZE2	tpiA	tpiA MMP0687	18110	173	Triosephosphate isomerase (EC 5.3.1.1)
Q6LZF7		MMP0672	33848	306	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)
Q6LZH0		MMP0658	33799	297	FeMo cofactor biosynthesis protein NifB (Nitrogenase cofactor maturase NifB) (Radical SAM assemblase NifB)
Q6LZI0	rtcA	rtcA MMP0648	37007	337	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4)
Q6LZJ7	feoB	feoB MMP0630	72478	647	Ferrous iron transport protein B
Q6LZK9	tiaS	tiaS MMP0616	48713	424	tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS (tRNA(Ile2)-agm2C synthetase) (EC 6.3.4.22) (tRNA(Ile2) agmatidine synthetase)
Q6LZL2		MMP0613	30096	266	Alpha-acetolactate decarboxylase (EC 4.1.1.5)
Q6LZL3	LigT	LigT MMP0612	20258	174	RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58)
Q6LZL4		MMP0611	20286	180	Metallo-beta-lactamase domain-containing protein 1 (Endoribonuclease MBLAC1)
Q6LZM0		MMP0604	32381	273	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Q6LZM6		MMP0598	48702	428	Archaeal phosphoglycerate mutase-related (EC 5.4.2.1)
